Title,Author,ISBN
1984,George Orwell,978-81-8252-313-5
100 Holidays in the Hills,,81-901724-6-8
A 2nd helping of Chicken Soup for the Soul,Multiple,1-55874-331-6
A Clockwork Orange,Anthony Burgess,978-0-141-18260-5
A Confederacy of Dunces,John Kennedy Toole,978-0-141-18286-5
A Handful of Dust,Evelyn Waugh,978-0-141-18396-1
"A Matter of Honour                                             Not A Penny More, Not A Penny Less",Jeffrey Archer,0-330-43900-6
A Prison Diary Vol. I - Hell,Jeffrey Archer,978-0-330-41859-1
A Prison Diary Vol. II- Purgatory,Jeffrey Archer,978-0-330-41884-3
A Prison Diary Vol. III - Heaven,Jeffrey Archer,978-0-330-41885-0
A Stranger In the Mirror,Sidney Sheldon,
A Time to Kill,John Grisham,0-09-913401-2
Adultery,Paulo Cohelo,978-81-8400-609-4
Airport,Arthur Hailey,
Alex,Pierre Lemaitre,978-0-85705-187-5
Alice's Adventures in Wonderland & Other Stories,Lewis Carroll,978-1-4351-2294-9
All The Light We Cannot See,Anthony Doerr,978-0-00-817242-8
All You Wanted to Know About Sun Signs,,81-207-2328-7
Alone,Lisa Gardner,978-0-7528-6515-7
And Thereby Hangs a Tale,Jeffrey Archer,978-0-330-51368-5
Angels & Demons,Dan Brown,
Animal Farm,George Orwell,9780143416319
Anna Karenina,Leo Tolstoy,978-0-140-44917-4
Are You Afraid of The Dark,Sidney Sheldon,0-446-61365-7
Art of War,Sun Tzu,9788182521718
Autobiography of a Yogi,Paramahansa Yogananda,
Avenger,Frederik Forsyth,9780552150446
Beach babylon,Imogen Edward-Jones,9780593056226
Black Order,James Rollins  ,978-1-4091-1750-6
Bleak House,Charles Dickens,0-553-21223-0
Bloodline,Sidney Sheldon,
Bloodline,James Rollins  ,978-1-4091-1389-8
Bonjour Tristesse & A Certain Smile,Francoise Sagan,978-0-141-19875-0
Caster Chronicles Vol. I     Beautiful Darkness,Kami Garcia & Margaret Stohl,978-0-141-32609-2
Caster Chronicles Vol. II    Beautiful Chaos,Kami Garcia & Margaret Stohl,978-0-141-33526-1
Caster Chronicles Vol. III    Beautiful Redemption,Kami Garcia & Margaret Stohl,978-0-141-33527-8
Century Trilogy Vol. I Fall of Giants,Ken Follet,978-0-330-53425-3
Century Trilogy Vol. II Edge of Eternity,Ken Follet,978-0-451-47400-1
Century Trilogy Vol. III Winter of The World,Ken Follet,978-1-4472-1189-1
Chances,Jackie Collins,978-0-330-44846-8
Chasing Harry Winston,Lauren Weisberger,978-0-00-728494-8
Chicken Soup for the Romantic Soul,"Jack Canfield, Mark Victor Hansen, Mark & Chrissy Donnelly, Barbara De Angelis",81-87671-34-3
Childcraft Dictionary,,0-7166-6062-8
Childcraft Series Vol. 8 Discovering Science,Childcraft 1992 Ed.,0-7166-6006-7 0716601915
Childcraft Series Vol. 9 Science at Work,Childcraft 1992 Ed.,0-7166-6006-7 0716601915
Childcraft Series Vol.10 Mathemagic,Childcraft 1992 Ed.,0-7166-6006-7 0716601915
Childcraft Series Vol.16 Parent Guide & Index,Childcraft 1992 Ed.,0-7166-6006-7 0716601915
Childcraft Series Vol.19 Exploring the Past,Childcraft 1992 Ed.,0-7166-6006-7 0716601915
City of Bones,Michael Connelly,0-7528-4834-1
City of Thieves,Cyrus Moore,978-0-7515-4256-1
Clifton Chronicles Vol. I Only Time Will Tell,Jeffrey Archer,978-0-230-74822-4
Clifton Chronicles Vol. II The Sins of The Father,Jeffrey Archer,978-1-4472-0922-5
Clifton Chronicles Vol. III Best Kept Secret,Jeffrey Archer,978-1-4472-3117-2
Clifton Chronicles Vol. IV Be Careful What you Wish For,Jeffrey Archer,978-1-4472-6509-2
Clifton Chronicles Vol. V Mightier Than the Sword,Jeffrey Archer,978-1-4472-9059-9
Clifton chronicles Vol. VI Cometh the Hour,Jeffrey Archer,978-1-4472-5221-4
Clifton Chronicles Vol. VII This Was a Man,Jeffrey Archer,978-1-4472-5225-2
Cocktails & Mixed Drinks,,1-86282-007-4
Commentary on The Consumer Protection Act   (5th Ed.),Dr. J.N. Barowalia,978-93-5053-190-1
Company Law (16th Ed.),Avtar Singh,
Complete Chanakya Neeti,Vishwamitra Sharma,978-81-8133-339-1
Complete Craft,Katherine Sorrell,1-85391-963-2
Crime And Punishment,Fyodor Dostoevsky,0-553-21175-7
Crime Beat ,Michael Connelly,0-7528-8072-1
Cross Country,James Patterson,9780099538936
Deception Point,Dan Brown,0-671-02738-7
Diana A Celebration,George Perry,0-7112-0251-6
Diana A Celebration of her Life,Newsweek Commemorative Issue,
Diana Princess of Wales,Brenda Ralph Lewin,0-361-05433-5
Digital Fortress,Dan Brown,0-312-99542-3
DK Illustrated Oxford Dictionary,,1-4053-2029-X
Dracula                         Frankenstein,Mary Shelly                      Bram Stoker,0-142-30171X
Dressing Diana,Tim Graham & Tamsin Blanchard,0-297-82432-5
Easy Money,Jenny Siler,0-8050-6025-1
Emma  ,Jane Austen,0-553-21273-7
Emma (Penguin Popular Classics),Jane Austen,978-0-14062-330-7
Environmental Law and Policy in India (2nd Ed.),Shyam Divan & Armin Rozencraz,0-19-566173-7
Europe Phrasebook,Lonley Planet,978-1-74179-973-6
Everyone Worth Knowing,Lauren Weisberger,0-00-726144-6
Family Law  (10th Ed.),Dr. Paras Diwan,81-89530-33-X
"Family Law II, Family Law Lectures (3rd Ed.)",Poonam Pradhan Saxena,978-81-8038-676-3
Family Wisdom from The Monk who sold his Ferrari,Robin Sharma,81-7992-230-8
Fantastic Beasts & Where to Find Them- The Original Screenplay,J.K. Rowling,978-1-4087-0898-9
First Family,David Baldacci,978-0-330-46356-0
Food and Beverage Service,Dannis Lillicrap & John Cousins,978-0-340-90523-9
Food Around the World,Margaret McWilliams,978-81-317-1385-3
Fortunately the Milk / Illustrated,Neil Gaiman/ChrisRiddell,978-1-4088-4179-2
Frankenstein                                                   Dracula,Mary Shelly                      Bram Stoker,0-142-30171X
French-English Dictionary ,Webster,
Friday's Child,Georgette Heyer,9780099468042
Friends…'til the End,David Wild,0-7553--1321-6
Frozen,Sarah Nathan ,978-1-4723-2520-4
Ganesha on The Dashboard,V. Raghunathan & M.A.Eswaran,978-01-4341-721-7
George's Marvellous Medicine,Roald Dahl,0-14-034641-4
Go Set a Watchman,Harper Lee,9781785150289
Goa A View from Heavens,Gopal Badhe,81-901505-0-2
God Bless the Princess of Wales,Cristopher Bentham-Smith,0-552-99008-6
Gone With The Wind,Margaret Mitchell,81-903268-2-1
Gray mountain,John Grisham,978-1-444-76565-6
Harry Potter and The Cursed Child,J.K. Rowling,978-0-7515-6535-5
Harry Potter and the Goblet of Fire,J.K. Rowling,0-7475-5099-9
Harry Potter and the Order of the Phoenix,J.K. Rowling,0-7475-7073-6
Harry Potter & The Half-Blood Prince,J.K. Rowling,0-7475-8108-8
Harry Potter and the Deathly Hollows,J.K. Rowling,978-0-7475-9105-4
History of the World,,81-900279-0-5
Hollywood Kids,Jackie Collins,978-0-330-32541-7
Hollywood Wives,Jackie Collins,0-7432-0855-2
Hornet Flight,Ken Follet,978-0-330-49068-9
Hotel,Arthur Hailey,978-81-291-0800-4
How I Braved Anu Aunty & Co-founded a Million Dollar Company.,Varun Agarwal,978-81-291-1979-7
How to Kill Your Husband,Kathy Lette,978-1-8473-9029-5
If tomorrow Comes,Sidney Sheldon,
Income Tax Act with relevant text of allied Acts,Chaturvedi & Pithisaria,978-93-5143-434-4
Income-Tax Ready Reckoner 2010/11,V.G. Mehta,978-81-842-029-0
India,Lonely Planet,1-74059-421-5
India Discovered,John Keay,
Indian Memsahib,Suchita Malik,
Inferno,Dan Brown,9780593072493
Interpreter of Maladies,Jhumpa Lahiri,978-81-7223-502-4
Into the Unknown,Wilbur Bradbury,0-89577-098-9
Introduction to Labour & Industrial Law (3rd Ed.),Dr. Avtar Singh & Dr. Hrpreet Kaur,978-93-5143-084-1
Introduction to Jurisprudence(4th Ed.),Dr. Avtar Singh & Dr. Hrpreet Kaur,978-81-8038-892-7
Introduction to The Interpretation of Statues (4th Edition),Avtar Singh & Harpreet Singh,978-93-5143-164-0
Introduction to The Maldives,Kirsten Ellis,
IQ84,Haruki Murakami,9780099578079
It Happened in India,Kishore Biyani with Dipayan Baishya,81-291-1137-3
Jane Eyre,Charolette Bronte,0-553-21140-4
Kafka on the Shore,Haruki Murakami,9780099458326
Kane & Abel,Jeffrey Archer,0-06-100712-9
Kane & Abel                                                   Honour Among Thieves,Jeffrey Archer,978-0-330-51747-8
Kane & Abel (30th anniversary Ed.),Jeffrey Archer,978-0-330-51302-9
Key to Wren & Martins High school English Grammar & composition,,81-219-0400-5
King Henry VIII,Angela Royston,0-85372-939-5
Kingsbridge Vol. I The Pillars of the Earth,Ken Follet,978-0-330-45086
"Lajja, Shame",Taslima Nasrin,
Land Laws in Maharashta,A.K. Gupte,
Law of Easements & Licences,,
Law of sale of Goods & Partnership: A Concise Study (1st Ed.),Dr. Nilima M. Chandiramani,81-7366-142-1
Law of Torts (updated 26th Ed.) Ratanlal & Dhirajlal,"G.P. Singh, J",978-81-8038-985-6
Law Relating to Intellectual Property (5th Ed.),Dr. B.L. Wadhera,978-93-5035-030-0
Leap of Faith,Queen Noor,0-75381-756-x
Legends of our Time,India Today,
Little Women,Louisa May Alcott,8188280976
Lives of The Indian Princes,Charles Allen & Sharadada Dwivedi,81-86982-05-1
Lolita,Vladimir Nobokov,978-0-141-18253-7
Lord Arthur Savile's Crime (Penguin Little Black Classics),Oscar Wilde,978-0-141-39778-8
Lord of the Flies,William Golding,978-0-571-29571-5
Lovers & Players,Jackie Collins,0-7432-6802-4
Madame Bovary,Gustave Flaubert,0-553-21341-5
Maharaja,Diwan Jarmani Dass,978-81-216-1207-4
Maharani,Diwan Jarmani Dass,978-81-216-1208-1
"Many Lives , Many Masters",Dr. Paras Diwan,0-7499-1378-9
"Many Lives , Many Masters",Dr. Brian Weiss,0-7499-1378-9
"Mario Puzo's The Godfather, The Lost Years",Mark Winegardner,9780099465478
Master of the Game,Sidney Sheldon,978-0-00-783703-8
Memories of Midnight,Sidney Sheldon,
Men Without Women,Haruki Murakami,9781911215370
Metamorphosis ,Franz Kafka,978-81-7234-513-6
The Girl Who Kicked the Hornets' Nest,Steig Larsson,978-1-84916-275-3
The Girl Who Played with Fire,Stieg Larsson,978-1-906694-15-9
Modern Cookery,Thangam E Philip,987-81-250-2518-4
Morning Noon & Night,Sidney Sheldon,0-00-649820-5
Mrs. Funnybones,Twinkle Khanna,9780143424468
New York,Collins Traveller,0-00-435782-5
News from Berlin,Otto De Kat,978-1-84866-234-6
Offbeat Tracks in Maharashta,Milind Gunaji,81-7154-669-2(3871)
"Oh Shit, Not Again",Mandar Kokate,978-81-905919-0-5
Oliver Twist,Charles Dickens,9788188280216
Omerta,Mario Puzo,9780099533252
One Flew Over the Cuckoo's nest,Ken Kesey,978-0-141-18788-4
Origin,Dan Brown,9780593078754
Overload,Arthur Hailey,
Oxford Dictionary of Business English,,0-19-431440-5
Paper Towns (1st Ed.),John Green,978-0-525-47818-8
Paths of Glory,Jeffrey Archer,978-0-330-50425-6
Perry Mason : The Case of the Amorous Aunt,Earl Stanley Gardner,81-8673463-5
Perry Mason : The Case of the Cautious Coqquette,Earl Stanley Gardner,
Perry Mason : The Case of the Curious Bride,Earl Stanley Gardner,
Perry Mason : The Case of the Deadly Toy,Earl Stanley Gardner,
Perry Mason : The Case of the Fabulous Fake ,Earl Stanley Gardner,
Perry Mason : The Case of the Fenced-in Woman,Earl Stanley Gardner,
Perry Mason : The Case of the Lazy Lover,Earl Stanley Gardner,
Perry Mason : The Case of the Long-Legged Models,Earl Stanley Gardner,
Pocket Venice,Lonely Planet,9781742201412
Pomeranian,Juliette Cunliffe,1-902389-41-7
Princess Diana,Newsweek,
Princess,Robert Lacey,0-8129-1017-6
Principals of administrative Law (updated 6th Ed.) M.P.Jain & S.N. Jain,"G.P.Singh,J & Alok Aradhe,J ",978-81-8038-855-2
Principals of the Law of Evidence,Dr. Avtar Singh  ,978-93-84961-52-7
Purple Hibiscus,Chimamanda Ngozi Adichie,978-0-00-727235-8
Rage of Angels,Sidney Sheldon,
Ram Chandra Series Vol. I Scion of Ikshvaku,Amish Tripathi,978-93-85152-14-6
Reckless,Cecily von Ziegesar,978-0-7553-3976-1
Red Earth & Pouring Rain,Vikram Chandra,9780140246124
Red Mist,Patricia Cornwell,978-1-4087-0234-5
Roget's International Thesaurus,3rd Edition,
"Same Soul, Many Bodies",Dr. Brian Weiss,0-7499-2541-8
Sapiens - A brief History of Humankind,Yuval Noah Harari,9780099590088
Scottish Folk and Fairy Tales,Gordon Jarvie,140622063
"Select Editions: Jacquot & The Angel, The Hard Way, The Undomestic Goddess, False Impression","Martin O'Brien, Lee Child, Sophie Kinsella, Jeffrey Archer",
"Select Editions: The Ambler Warning, True Believer, Tyrannosaur Canyon, Quite Honestly","Robert Ludlum, Nicholas Sparks, Douglas Preston, John Mortimer",
Shakespeare The Complete Works,William Shakespeare (1623),81-8252-192-0
"Shall we tell the President. & Not a Penny More, Not a Penny Less",Jeffrey Archer,0-330-43929-4
Shantaram,Gregory Davis Roberts,978-0-349-11754-6
Shiva Trilogy Vol. II The Secret of the Nagas,Amish Tripathi,978-9380658-79-7
Sidney Sheldon's Mistress of the Game,Tilly Bagshawe,978-0-00-734056-9
Sister,Rosamund Lupton,978-0-7499-4201-4
Snuff,Chuck Palahniuk,9780099499374
Sons of Fortune,Jeffrey Archer,0-330-41862-9
"South of the Border, West of the Sun",Haruki Murakami,9780099448670
Split Second,David Baldacci,978-0-330-41172-1
Stranger to History,Aatish Taseer,978-0-330-51115-5
Sybil,Flora Rheta Schreiber,978-0-241-96763
Sycamore Row,John Grisham,978-1-444-77955-4
Tales of Mystery & Terror,Edgar Allen Poe,0-86611-984-1
Taxation Laws (4th Ed.),Y.M. Agarwala & Pathik Shah,978-81-924058-6-5
Taxmann's Income Tax Act (54th Ed.),Taxmann,978-81-7194-726-3
Tell Me No Lies,Elizabeth Lowell,1-55166-823-8
Tell Me your dreams,Sidney Sheldon,
The Age of Innocence,Edith Wharton,9788182521637
The Afghan,Frederik Forsyth,9780552155052
The Alchemist,Paulo Cohelo,
The Alexandria Link ,Steve Berry,978-0-354-50247-6
The Arabian Nights,Margery Green (retold by),
The Appeal,John Grisham,9780099481768
The Bancroft Strategy,Robert Ludlum. ,978-0-7528-8118-8
The Bell Jar,Sylvia Plath,978-0-571-26886-3
The Bone Garden,Tess Gerritsen,9780553818352
The Casual Vacancy,J.K. Rowling,978-0-7515-5286-7
The Cemetery of Forgotten Books Vol. I The Shadow of the Wind,Carlos Ruiz zafon,0-7538-2025-0
The Cemetery of Forgotten Books Vol. II The Angel's Game,Carlos Ruiz Zafon,978-0-7538-2649-2
The Charlemange Pursuit,Steve Berry,978-0-340-93347-3
"The Code of Criminal Procedure ,1973 ",,
The Code of Criminal Procedure (21st Ed.) Ratanlal & Dhirajlal,B.M. Prasad & Manish Mohan,978-81-8038-983-2
The Collected Short Stories of Roald Dahl,Roald Dahl,9780140158076
The Color Purple,Alice Walker,
